[04/03/26, 7:41:21 AM] Amritash Vidya School Friends: Happpppyyyy....hooooliiiii Bhai...may god bless you with lot of sucess in ur life and happyness ✨✨🔥🔥may you rise like a coconut tress ....and start showering lots of succes like a colors 🔥🔥🔥✨🙏🏻🙏🏻💙💙❤️💙❤️💙❤️
[29/03/26, 3:44:35 AM] Hariom: Hackathon
[29/03/26, 3:44:35 AM] Amritash Vidya School Friends: ye toh iit bombay kraati hai
[29/03/26, 3:44:41 AM] Amritash Vidya School Friends: sayd
[29/03/26, 3:44:45 AM] Hariom: Sab kerte hai
[29/03/26, 3:44:54 AM] Amritash Vidya School Friends: hr college
[29/03/26, 3:45:01 AM] Amritash Vidya School Friends: inter hai ya intra
[29/03/26, 3:45:04 AM] Hariom: Har
[29/03/26, 3:45:16 AM] Hariom: Clg
[29/03/26, 3:45:19 AM] Hariom: Every
[29/03/26, 3:45:22 AM] Hariom: Clg
[29/03/26, 3:45:24 AM] Hariom: Bro
[29/03/26, 3:45:33 AM] Amritash Vidya School Friends: college ke bich me hoga yaa andr bachho me hi
[29/03/26, 3:45:47 AM] Amritash Vidya School Friends: chl bdiya good job 🔥🔥lgee reh
[29/03/26, 3:45:54 AM] Hariom: Haa
[29/03/26, 3:45:59 AM] Hariom: Ye pqn india hai per
[29/03/26, 3:46:08 AM] Hariom: Foss
[29/03/26, 3:46:09 AM] Hariom: Ka
[29/03/26, 3:46:09 AM] Amritash Vidya School Friends: pqn?
[29/03/26, 3:46:11 AM] Hariom: Hai
[29/03/26, 3:46:15 AM] Hariom: Pan india
[29/03/26, 3:46:22 AM] Amritash Vidya School Friends: Okh
[29/03/26, 3:46:27 AM] Amritash Vidya School Friends: nice
[29/03/26, 3:46:31 AM] Amritash Vidya School Friends: chl kr tb
[29/03/26, 3:46:43 AM] Hariom: Haa thik hai
[03/04/26, 5:44:45 PM] Amritash Vidya School Friends: ‎Missed voice call, ‎Click to call back
[03/04/26, 5:45:04 PM] Amritash Vidya School Friends: bhai tu khaa rheta hai
[03/04/26, 5:45:06 PM] Amritash Vidya School Friends: noida me
[03/04/26, 5:51:44 PM] Amritash Vidya School Friends: bhai
[03/04/26, 5:51:46 PM] Amritash Vidya School Friends: ‎Missed voice call, ‎Click to call back
[03/04/26, 5:54:13 PM] Amritash Vidya School Friends: bro pick up the call
[03/04/26, 5:54:24 PM] Amritash Vidya School Friends: very urgent
[03/04/26, 6:29:01 PM] Hariom: ‎Voice call, ‎No answer
[03/04/26, 6:29:16 PM] Amritash Vidya School Friends: ‎Voice call, ‎26 sec
[05/04/26, 7:22:18 PM] Amritash Vidya School Friends: ‎Missed voice call, ‎Click to call back
[06/04/26, 1:05:50 AM] Amritash Vidya School Friends: kya lgta hai bhai
[06/04/26, 1:05:56 AM] Amritash Vidya School Friends: kyaa hoga aane waale mahine me
[06/04/26, 1:06:00 AM] Hariom: iss bar iit
[06/04/26, 1:06:31 AM] Amritash Vidya School Friends: sb chijee bhikri lg rhi hai
[06/04/26, 1:06:39 AM] Amritash Vidya School Friends: kuch smjh nhi aa rha hau
[06/04/26, 1:06:41 AM] Hariom: nsut bhi kahi nahi gaya abhi tak to aisa he lag raha ai
[06/04/26, 1:06:49 AM] Amritash Vidya School Friends: paper time pe nhi ho paa rha hai
[06/04/26, 1:06:59 AM] Hariom: tera paper nahi hua
[06/04/26, 1:07:04 AM] Hariom: second attampt abhi
[06/04/26, 1:07:05 AM] Hariom: kya
[06/04/26, 1:07:12 AM] Amritash Vidya School Friends: singapore university?
[06/04/26, 1:07:16 AM] Amritash Vidya School Friends: kl hogya
[06/04/26, 1:07:27 AM] Amritash Vidya School Friends: dekhte hai kitna bnta hai
[06/04/26, 1:07:37 AM] Hariom: tera kal hia
[06/04/26, 1:07:38 AM] Amritash Vidya School Friends: hopefully achha bnee phele se
[06/04/26, 1:07:42 AM] Hariom: to bhai itna mat soch
[06/04/26, 1:07:44 AM] Amritash Vidya School Friends: morning shift
[06/04/26, 1:07:49 AM] Hariom: all the best
[06/04/26, 1:07:53 AM] Hariom: so jaa abhi
[06/04/26, 1:07:53 AM] Amritash Vidya School Friends: hmm
[06/04/26, 1:07:59 AM] Hariom: kal paper jisa bhi jye
[06/04/26, 1:08:04 AM] Hariom: uske baad dhakte ahi
[06/04/26, 1:08:11 AM] Hariom: hai 5- 6 hr or
[06/04/26, 1:08:12 AM] Amritash Vidya School Friends: hmm
[06/04/26, 1:08:15 AM] Hariom: bas jada nahi
[06/04/26, 1:08:21 AM] Amritash Vidya School Friends: arey kl thaa
[06/04/26, 1:08:24 AM] Hariom: rest ker acche se ho gye ka
[06/04/26, 1:08:28 AM] Amritash Vidya School Friends: hogya mera
[06/04/26, 1:08:42 AM] Hariom: accha
[06/04/26, 1:08:45 AM] Amritash Vidya School Friends: bs aaj ek aur paper diya tha apne side se
[06/04/26, 1:08:47 AM] Hariom: mujhe laga kal hai
[06/04/26, 1:08:54 AM] Amritash Vidya School Friends: nhi hogya hai
[06/04/26, 1:09:01 AM] Amritash Vidya School Friends: 4april 1st shift mroning me
[06/04/26, 1:09:07 AM] Hariom: accha got it
[06/04/26, 1:09:13 AM] Amritash Vidya School Friends: hmm
[06/04/26, 1:09:21 AM] Hariom: singapour uni mai 40 lakh ka pata hai naa
[06/04/26, 1:09:27 AM] Hariom: real fees 80
[06/04/26, 1:09:34 AM] Hariom: hai or free bhi hota hai
[06/04/26, 1:09:41 AM] Hariom: but uske liye jhamela hai
[06/04/26, 1:09:51 AM] Hariom: or her sem mai acche marks ye sab ka bhi
[06/04/26, 1:09:52 AM] Hariom: hai
[06/04/26, 1:09:52 AM] Amritash Vidya School Friends: wo kevl olympiad walo keliye hai
[06/04/26, 1:10:01 AM] Amritash Vidya School Friends: jo international represent krte hai
[06/04/26, 1:10:03 AM] Hariom: haa bhi
[06/04/26, 1:10:25 AM] Hariom: tu bhi ker sakta hai agar apna potential or achivement show kerta hai
[06/04/26, 1:10:34 AM] Hariom: per inpe strictness kafi hota hai
[06/04/26, 1:10:34 AM] Amritash Vidya School Friends: ohh
[06/04/26, 1:10:43 AM] Amritash Vidya School Friends: achha
[06/04/26, 1:10:49 AM] Amritash Vidya School Friends: pr show kaise krunga
[06/04/26, 1:11:03 AM] Amritash Vidya School Friends: tu kb show kr rha hai
[06/04/26, 1:11:04 AM] Hariom: dhak uska form jaa ke dhak ak baar
[06/04/26, 1:11:12 AM] Hariom: mai dhaka tha kafi intemedating tha
[06/04/26, 1:11:23 AM] Hariom: tu agar
[06/04/26, 1:11:23 AM] Amritash Vidya School Friends: ohh
[06/04/26, 1:11:31 AM] Hariom: chaye to ielats de phale
[06/04/26, 1:11:39 AM] Hariom: 7-8 la
[06/04/26, 1:11:45 AM] Amritash Vidya School Friends: nhi jaana videss
[06/04/26, 1:11:46 AM] Hariom: us mai agar forign jana hai to
[06/04/26, 1:11:46 AM] Amritash Vidya School Friends: bhai
[06/04/26, 1:11:51 AM] Amritash Vidya School Friends: rhene de
[06/04/26, 1:12:02 AM] Hariom: schlorship milta hai
[06/04/26, 1:12:08 AM] Amritash Vidya School Friends: namak swaad anur saar and sapne aukat annusaar
[06/04/26, 1:12:16 AM] Hariom: idhar agar 8-10 lag raha hai udhar bhi itna he lagega
[06/04/26, 1:12:25 AM] Hariom: mai dhunda hu kafi tu bhi dhak nahi to
[06/04/26, 1:12:34 AM] Amritash Vidya School Friends: achha ok
[06/04/26, 1:12:57 AM] Amritash Vidya School Friends: chl bye yaar 
mere siiir drd ho rha hai..jaa rha hu sleep leene
[06/04/26, 1:13:03 AM] Hariom: idhar vhabav bhi 16 pay ker raha hia gururam mai koi north cap hai
[06/04/26, 1:13:12 AM] Hariom: thik
[06/04/26, 1:13:19 AM] Amritash Vidya School Friends: 16000?
[06/04/26, 1:13:31 AM] Hariom: 16 lakh for 4 year
[06/04/26, 1:13:36 AM] Hariom: without hostel
[06/04/26, 1:13:45 AM] Amritash Vidya School Friends: acha vaibhav
[06/04/26, 1:14:03 AM] Amritash Vidya School Friends: bro giving competishun to bits student
[06/04/26, 1:14:05 AM] Amritash Vidya School Friends: paisa
[06/04/26, 1:14:19 AM] Hariom: chod chill
[06/04/26, 1:14:23 AM] Amritash Vidya School Friends: hm
[06/04/26, 1:14:29 AM] Hariom: call kerna koi help chaiye ho to
[06/04/26, 1:14:38 AM] Hariom: bhai
[06/04/26, 1:14:46 AM] Amritash Vidya School Friends: bye good night yaar
siiir me pain ho rha hai neend aa rhi hai
[06/04/26, 1:14:48 AM] Hariom: baki chill nda de raha hai
[06/04/26, 1:14:56 AM] Amritash Vidya School Friends: naa bhai
[06/04/26, 1:15:01 AM] Hariom: koi naa
[06/04/26, 1:15:06 AM] Hariom: kal baat kerte hai
[06/04/26, 1:15:08 AM] Hariom: good night
[06/04/26, 1:15:15 AM] Amritash Vidya School Friends: maine vo uss bhai keliye rkha hai
[06/04/26, 1:15:19 AM] Amritash Vidya School Friends: kon ptaa hai
[06/04/26, 1:15:39 AM] Hariom: hmm
[06/04/26, 1:16:02 AM] Amritash Vidya School Friends: Amhemdabadi hmaar sheer ...airforce ka pyaar...kaane ka dulaara hai
[06/04/26, 1:16:10 AM] Amritash Vidya School Friends: none other than
[06/04/26, 1:16:16 AM] Amritash Vidya School Friends: naam bhul gya bhai
[06/04/26, 1:16:18 AM] Amritash Vidya School Friends: kya naam thaa
[06/04/26, 1:16:22 AM] Amritash Vidya School Friends: 🤣🤣🤣😅🤣🤣🤣
[06/04/26, 1:16:26 AM] Hariom: yug
[06/04/26, 1:16:32 AM] Amritash Vidya School Friends: shit shaara mehnat waste hogya
[06/04/26, 1:16:35 AM] Amritash Vidya School Friends: yes yug
[06/04/26, 1:16:43 AM] Amritash Vidya School Friends: bye
[06/04/26, 1:16:46 AM] Hariom: bye
[06/04/26, 1:16:49 AM] Hariom: gn
[06/04/26, 1:16:57 AM] Amritash Vidya School Friends: Amritesh tripathi signning off
[06/04/26, 1:17:02 AM] Amritash Vidya School Friends: ✨
